INICIO VEICULO
Descricao Carro de cria
Codigo 92411/164.144.426-22
Status Em Uso
Diaria 140
Placa GHW-7269
Modelo Chevrolet Onix
Ocupacao 5
Cor Branco
FIM VEICULO
INICIO VEICULO
Descricao Carro feio
Codigo 93800/164.144.506-22
Status Livre
Diaria 210
Placa JVJ-2895
Modelo Ford Ka
Ocupacao 5
Cor Prata
FIM VEICULO
INICIO VEICULO
Descricao Carro bonito
Codigo 83534/163.145.506-22
Status Livre
Diaria 311
Placa NIC-3523
Modelo Honda Pilot
Ocupacao 8
Cor Azul
FIM VEICULO
INICIO VEICULO
Descricao Carro foda
Codigo 96545/165.155.606-22
Status Livre
Diaria 55
Placa PVT-5625
Modelo Fiat Uno
Ocupacao 5
Cor Prata
FIM VEICULO
